data_origin,date,terms,counts,scaled_counts,total_tokens,title
Computers and the Humanities,1987-10-01,tool,7,0.14425091221593858,68596,Computers and the Humanities
Computers and the Humanities,1988-01-01,infrastructure,0,0.0,201806,Computers and the Humanities
Computers and the Humanities,1988-01-01,tool,16,0.3345826819237754,201806,Computers and the Humanities
Computers and the Humanities,1989-01-01,infrastructure,0,0.0,122990,Computers and the Humanities
Computers and the Humanities,1989-01-01,tool,2,0.023519944544515087,122990,Computers and the Humanities
Computers and the Humanities,1989-04-01,infrastructure,0,0.0,42760,Computers and the Humanities
Computers and the Humanities,1989-04-01,tool,8,0.17487809392906353,42760,Computers and the Humanities
Computers and the Humanities,1989-06-01,infrastructure,0,0.0,106712,Computers and the Humanities
Computers and the Humanities,1989-06-01,tool,12,0.18162893475114777,106712,Computers and the Humanities
Computers and the Humanities,1989-08-01,infrastructure,0,0.0,143606,Computers and the Humanities
Computers and the Humanities,1989-08-01,tool,6,0.16990962765825782,143606,Computers and the Humanities
Computers and the Humanities,1989-12-01,infrastructure,0,0.0,57938,Computers and the Humanities
Computers and the Humanities,1989-12-01,tool,13,0.6127698233240186,57938,Computers and the Humanities
Computers and the Humanities,1990-02-01,infrastructure,0,0.0,143880,Computers and the Humanities
Computers and the Humanities,1990-02-01,tool,13,0.44960652828849995,143880,Computers and the Humanities
Computers and the Humanities,1990-06-01,infrastructure,0,0.0,41914,Computers and the Humanities
Computers and the Humanities,1990-06-01,tool,7,0.16451381743230478,41914,Computers and the Humanities
Computers and the Humanities,1990-08-01,infrastructure,0,0.0,77872,Computers and the Humanities
Computers and the Humanities,1990-08-01,tool,10,0.440967543676225,77872,Computers and the Humanities
Computers and the Humanities,1990-12-01,infrastructure,0,0.0,146578,Computers and the Humanities
Computers and the Humanities,1990-12-01,tool,20,0.5535283967481743,146578,Computers and the Humanities
Computers and the Humanities,1991-02-01,infrastructure,0,0.0,80690,Computers and the Humanities
Computers and the Humanities,1991-02-01,tool,5,0.18697445003745494,80690,Computers and the Humanities
Computers and the Humanities,1991-04-01,infrastructure,0,0.0,114570,Computers and the Humanities
Computers and the Humanities,1991-04-01,tool,11,0.4263384631706586,114570,Computers and the Humanities
Computers and the Humanities,1991-08-01,infrastructure,1,0.019022256039566292,41194,Computers and the Humanities
Computers and the Humanities,1991-08-01,tool,11,0.11506528331578604,41194,Computers and the Humanities
Computers and the Humanities,1991-10-01,infrastructure,0,0.0,87670,Computers and the Humanities
