commit_author_name,commit_author_date,stats_total,stats_additions,stats_deletions
ZoeLeBlanc,2020-12-03 21:37:53+00:00,140,139,1
JR Ladd,2020-12-02 00:10:23+00:00,19,17,2
JR Ladd,2020-12-01 23:09:28+00:00,39,32,7
JR Ladd,2020-12-01 21:48:14+00:00,938,541,397
JR Ladd,2020-12-01 21:45:29+00:00,1913,820,1093
JR Ladd,2020-12-01 21:44:44+00:00,1913,820,1093
JR Ladd,2020-12-01 21:43:32+00:00,1913,1093,820
JR Ladd,2020-12-01 21:39:58+00:00,35,30,5
ZoeLeBlanc,2020-12-01 21:19:13+00:00,3,1,2
ZoeLeBlanc,2020-11-30 16:22:01+00:00,781,322,459
ZoeLeBlanc,2020-11-24 23:43:05+00:00,87,78,9
ZoeLeBlanc,2020-11-24 23:32:34+00:00,332,222,110
JR Ladd,2020-11-24 23:04:42+00:00,82,78,4
ZoeLeBlanc,2020-11-17 21:20:19+00:00,0,0,0
ZoeLeBlanc,2020-11-17 21:20:15+00:00,182,166,16
JR Ladd,2020-11-17 21:19:08+00:00,123,115,8
JR Ladd,2020-11-13 17:25:34+00:00,8,4,4
JR Ladd,2020-11-13 16:52:27+00:00,8,4,4
JR Ladd,2020-11-12 23:25:58+00:00,47,41,6
JR Ladd,2020-11-03 16:01:41+00:00,73,69,4
JR Ladd,2020-10-25 20:58:33+00:00,7,7,0
JR Ladd,2020-10-25 20:36:45+00:00,2,1,1
JR Ladd,2020-10-24 22:33:27+00:00,16,11,5
JR Ladd,2020-10-24 21:50:07+00:00,140,68,72
ZoeLeBlanc,2020-10-20 23:23:09+00:00,989,516,473
ZoeLeBlanc,2020-10-20 22:57:45+00:00,3,2,1
ZoeLeBlanc,2020-10-20 20:35:11+00:00,68,35,33
ZoeLeBlanc,2020-10-20 16:50:52+00:00,85,58,27
JR Ladd,2020-10-20 15:25:53+00:00,9,6,3
JR Ladd,2020-10-20 15:09:26+00:00,42,22,20
ZoeLeBlanc,2020-10-20 01:24:33+00:00,700,542,158
JR Ladd,2020-10-16 22:39:00+00:00,18,4,14
JR Ladd,2020-10-16 22:10:55+00:00,36,14,22
