commit_author_name,commit_author_date,value,type
ZoeLeBlanc,2021-03-11 17:25:26+00:00,8,additions
JR Ladd,2021-03-10 23:57:42+00:00,1,additions
JR Ladd,2021-03-10 23:52:46+00:00,2,additions
JR Ladd,2021-03-10 23:47:41+00:00,0,additions
JR Ladd,2021-03-10 23:46:48+00:00,89,additions
JR Ladd,2021-03-10 23:13:41+00:00,25,additions
JR Ladd,2021-03-10 23:03:33+00:00,6,additions
JR Ladd,2021-03-10 22:48:37+00:00,3,additions
JR Ladd,2021-03-10 22:35:31+00:00,13,additions
JR Ladd,2021-03-10 22:06:28+00:00,2,additions
ZoeLeBlanc,2021-03-10 21:08:54+00:00,108,additions
ZoeLeBlanc,2021-03-10 21:04:55+00:00,34,additions
JR Ladd,2021-03-02 20:03:16+00:00,1,additions
JR Ladd,2021-03-02 20:00:58+00:00,2,additions
JR Ladd,2021-03-02 19:38:31+00:00,7,additions
JR Ladd,2021-03-02 19:26:00+00:00,3,additions
JR Ladd,2021-03-02 16:20:13+00:00,31,additions
JR Ladd,2021-03-01 21:18:18+00:00,62,additions
JR Ladd,2021-03-01 19:19:57+00:00,10,additions
JR Ladd,2021-03-01 16:47:31+00:00,2,additions
ZoeLeBlanc,2021-02-23 21:28:35+00:00,6,additions
ZoeLeBlanc,2021-02-23 14:45:00+00:00,37,additions
ZoeLeBlanc,2021-02-23 03:30:47+00:00,75,additions
JR Ladd,2021-02-18 21:38:36+00:00,428,additions
JR Ladd,2021-02-18 21:35:59+00:00,0,additions
JR Ladd,2021-02-18 21:34:31+00:00,5,additions
JR Ladd,2021-02-18 21:26:12+00:00,3,additions
JR Ladd,2021-02-18 16:58:48+00:00,3,additions
ZoeLeBlanc,2021-02-17 22:36:29+00:00,3,additions
ZoeLeBlanc,2021-02-17 22:09:03+00:00,16,additions
ZoeLeBlanc,2021-02-16 23:14:04+00:00,221,additions
ZoeLeBlanc,2021-02-09 16:04:49+00:00,123,additions
JR Ladd,2021-02-08 21:54:25+00:00,3,additions
JR Ladd,2021-02-08 21:49:49+00:00,7,additions
JR Ladd,2021-02-08 20:42:53+00:00,5,additions
JR Ladd,2021-02-05 22:22:51+00:00,22,additions
JR Ladd,2021-02-05 22:08:02+00:00,4,additions
JR Ladd,2021-02-05 22:00:44+00:00,8,additions
JR Ladd,2021-02-05 21:40:29+00:00,4,additions
JR Ladd,2021-02-05 21:25:05+00:00,2,additions
JR Ladd,2021-02-05 21:15:52+00:00,6,additions
